Annual Fees,Originator,Years in Business,1/Years,Credit score,Property Ownership,SIC Code,Industry Category,Industry Subcategory,Num Credit Inquiries,Active Credit Lines,Active Credit Available,Active Credit Balance,Utilitization Percent,Past Due Total Balance,Avg Monthly Payment,Active #30Days,Active #60Days,Active #90Days,Num Charged Off,Credit Bal of Charge Offs,Past Due of Charge Offs,Percent Active Current,Active Percent Revolving,Ever Bankrupt?,Num of Bankruptcies,Time Since Bankruptcy,Num of Child Supports,Num of Closed Judgments,Num of Closed Tax Liens,Amt Past Judgments,Population of Zip Code,White Population,Black Population,Hispanic Population,Asian Population,Hawaiian Population,Indian Population,Other Population,Male Population,Female Population,Households in Zip Code,Persons Per Household,Average House Value,Income Per Household,Median Age,Median Age Male,Median Age Female,State,TimeZone,Metropolitan Statistical Area,Region,Division,Employment,First Quarter Payroll (000),Annual Payroll (000),Avg Annual Salary 
"$3,590 ",B,20,0.047619048,576,Lease,59420000,Retail - Others,Books,1,4,$400 ,"$2,798 ",87.49,"$2,798 ",$331 ,0,0,0,3,3326,2659,0,0,no,0,,0,0,0,0,45096,10408,30439,1298,2580,30,70,492,20717,24379,23498,2.02,"$257,500 ","$31,571 ",32.9,31.3,34.7,IL,6,"Chicago-Gary-Kenosha, IL-IN-WI CMSA",Midwest,East North Central,6249,"$39,963 ","$163,179 ","$26,113 "
"$3,310 ",B,10,0.090909091,589,Lease,73820000,Services - For Businesses,Security systems services,1,7,"$23,249 ","$414,623 ",94.69,$0 ,"$3,825 ",6,1,1,0,,,1,0.07723571,no,0,,0,0,0,0,20975,17995,965,5573,903,7,32,577,10305,10670,6711,3.24,"$205,300 ","$88,530 ",34.3,34.6,34.2,FL,5,"Miami-Fort Lauderdale, FL CMSA",South,South Atlantic,9171,"$80,830 ","$345,552 ","$37,679 "
"$3,370 ",A,1,0.5,637,Lease,56210000,Retail - Clothes & Accessories,Women's clothing,18,16,"$11,419 ","$153,876 ",93.09,$0 ,"$2,024 ",4,3,2,0,,,1,0.13268601,no,0,,0,0,0,0,13430,12089,496,468,171,10,177,143,6845,6585,5653,2.59,"$88,200 ","$37,752 ",29.2,28.4,29.8,AR,6,"Fayetteville-Springdale-Rogers, AR MSA",South,West South Central,2050,"$12,455 ","$51,216 ","$24,983 "
"$4,140 ",A,13,0.071428571,562,Lease,57120000,"Retail - Furniture, Furnishings & Appliances",Furniture,3,9,$852 ,"$100,057 ",99.16,"$4,041 ",$980 ,11,1,3,0,,,0.33333333,0.02215515,yes,1,1.26188855,0,0,0,0,12502,12242,10,253,7,4,35,121,6017,6485,5826,2.28,"$78,500 ","$30,043 ",42.3,40.4,44.3,TN,5,"Johnson City-Kingsport-Bristol, TN-VA MS",South,East South Central,3927,"$29,142 ","$117,057 ","$29,808 "
"$3,700 ",B,5,0.166666667,614,Mortgage,41210000,Services - Transportation & Storage,Taxicab & limo service,2,9,"$2,500 ","$398,867 ",99.38,$539 ,"$3,971 ",1,1,0,0,,,0.88888889,0.00772292,no,0,,0,0,0,0,47283,39884,1364,4465,2146,35,124,1942,22862,24421,20181,2.41,"$168,200 ","$37,067 ",37.6,36.1,39.4,MA,5,"Boston-Worcester-Lawrence, MA-NH-ME-CT CMSA",Northeast,New England,7845,"$46,071 ","$196,778 ","$25,083 "
"$3,790 ",C,1,0.5,418,Lease,58120100,Services - Eating and Drinking,Ethnic food restaurants,4,21,"$31,431 ","$216,297 ",87.31,"$9,802 ","$2,776 ",18,13,5,0,,,0.38095238,0.04343122,no,0,,0,0,0,0,30067,22198,6159,886,692,13,107,312,14322,15745,14540,2.24,"$69,200 ","$34,579 ",35.2,34.2,36.1,FL,5,"Jacksonville, FL MSA",South,South Atlantic,13157,"$85,684 ","$372,209 ","$28,290 "
"$3,860 ",B,49,0.02,604,Lease,80210000,Services - Health,Dentists,6,11,"$12,130 ","$42,847 ",77.94,$0 ,"$1,043 ",7,5,13,0,,,1,0.26815675,no,0,,0,0,1,0,15227,9020,1846,7388,235,8,152,3113,8553,6674,4466,3.23,"$82,900 ","$40,392 ",29.2,29.3,29,TX,6,"Austin-San Marcos, TX MSA",South,West South Central,646,"$3,957 ","$16,760 ","$25,944 "
"$2,580 ",A,7,0.125,511,Lease,72310000,Services - Personal,Beauty shops,4,10,"$2,800 ","$10,683 ",79.23,"$1,499 ",$413 ,1,0,0,0,,,0.4,0.32188528,yes,1,31.1316753,0,1,0,725,39920,2700,35891,512,317,13,113,199,17947,21973,16095,2.63,"$129,900 ","$47,663 ",32,30,33.6,MD,5,"Washington-Baltimore, DC-MD-VA-WV CMSA",South,South Atlantic,7764,"$52,990 ","$230,115 ","$29,639 "
"$3,400 ",B,5,0.166666667,638,Mortgage,58120500,Services - Eating and Drinking,Family restaurants,1,13,"$15,000 ","$47,502 ",76,$0 ,"$1,528 ",0,0,0,0,,,0.92307692,0.23776862,no,0,,0,0,0,0,23824,21760,1292,369,221,9,56,151,11486,12338,10208,2.47,"$82,900 ","$35,619 ",38,36.5,39.2,TN,6,,South,East South Central,11247,"$69,836 ","$296,521 ","$26,364 "
"$4,200 ",C,2,0.333333333,586,Lease,58120500,Services - Eating and Drinking,Family restaurants,4,8,$800 ,"$492,792 ",99.84,"$5,459 ","$8,286 ",21,10,8,0,,,0.5,0.0028208,no,0,,0,0,0,0,5207,3929,86,148,1094,0,0,25,2585,2622,1930,2.77,"$356,800 ","$90,286 ",35.3,34.6,35.9,NJ,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,6764,"$69,614 ","$290,471 ","$42,944 "
"$3,520 ",A,26,0.037037037,702,Lease,73110000,Services - For Businesses,Advertising agencies,1,11,"$27,800 ","$107,802 ",79.5,$0 ,"$2,047 ",0,0,0,0,,,1,0.2897113,no,0,,0,0,0,0,17386,15446,994,1366,315,5,18,255,8443,8943,7991,2.23,"$161,200 ","$56,381 ",40.2,39.1,41.3,FL,5,"West Palm Beach-Boca Raton, FL MSA",South,South Atlantic,38038,"$381,438 ","$1,403,944 ","$36,909 "
"$2,360 ",C,3,0.25,630,Lease,58130100,Services - Eating and Drinking,Bars & lounges,0,2,"$1,200 ","$5,598 ",82.35,$271 ,$282 ,0,0,0,0,,,0.5,0,no,0,,0,0,0,0,30951,21823,7570,985,271,22,165,373,15230,15721,13085,2.5,"$78,200 ","$32,082 ",30.9,29.9,32.2,TN,6,"Clarksville-Hopkinsville, TN-KY MSA",South,East South Central,19888,"$109,616 ","$454,986 ","$22,877 "
"$2,810 ",B,10,0.090909091,558,Lease,79910000,Services - Amusement & Recreation,Gyms,4,12,"$75,890 ","$444,145 ",85.41,"$13,993 ","$4,114 ",7,3,3,0,,,0.83333333,0.14687265,no,0,,0,0,0,0,16530,14697,1035,216,558,2,10,59,8117,8413,7326,2.35,"$127,000 ","$49,517 ",36,34.2,37.7,PA,5,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA",Northeast,Middle Atlantic,21524,"$319,618 ","$1,239,280 ","$57,577 "
"$4,370 ",C,7,0.125,438,Lease,76992700,Services - Amusement & Recreation,Hobby & collectors services,11,8,"$1,440 ","$18,386 ",92.74,"$5,524 ",$517 ,30,5,6,0,,,0.375,0.14423595,no,0,,0,0,4,0,38417,30549,872,11922,801,24,1186,3475,18462,19955,18288,2.22,"$120,600 ","$39,670 ",40.9,39.2,42.7,NM,7,"Albuquerque, NM MSA",West,Mountain,36048,"$252,424 ","$1,065,123 ","$29,547 "
"$2,940 ",C,4,0.2,499,Lease,58130100,Services - Eating and Drinking,Bars & lounges,3,10,"$2,490 ","$57,793 ",95.87,$466 ,"$1,619 ",39,4,1,0,,,0.9,0.80044112,no,0,,0,0,1,0,6349,6042,18,124,21,1,110,40,3091,3258,2533,2.67,"$81,600 ","$36,016 ",36.3,35.9,36.7,AR,6,"Fayetteville-Springdale-Rogers, AR MSA",South,West South Central,709,"$4,217 ","$18,385 ","$25,931 "
"$6,380 ",C,2,0.333333333,528,Lease,58120600,Services - Eating and Drinking,Pizza restaurants,0,7,"$45,100 ","$251,465 ",84.79,"$27,135 ","$2,746 ",14,6,3,0,,,0.28571429,0.00271048,yes,1,76.2317465,0,0,1,0,11772,11360,133,146,129,3,9,33,5634,6138,4307,2.42,"$97,600 ","$46,885 ",37.3,34,39.4,NY,5,"Utica-Rome, NY MSA",Northeast,Middle Atlantic,3927,"$19,384 ","$78,149 ","$19,900 "
"$2,930 ",B,11,0.083333333,542,Mortgage,75420000,Services - Auto Repair & Maintenance,Carwashes,5,11,"$4,273 ","$399,517 ",98.94,$451 ,"$4,378 ",11,1,0,0,,,0.72727273,0.01658172,no,0,,0,0,1,0,26961,25115,385,1677,319,20,157,523,13193,13768,10851,2.57,"$134,700 ","$54,591 ",39,38.2,39.9,WY,7,"Cheyenne, WY MSA",West,Mountain,6337,"$35,242 ","$144,270 ","$22,766 "
"$3,230 ",B,4,0.2,534,Lease,58120100,Services - Eating and Drinking,Ethnic food restaurants,1,11,"$56,700 ","$382,491 ",87.09,$626 ,"$3,413 ",6,2,0,0,,,0.90909091,0.14900259,no,0,,0,1,0,165,16922,14730,409,661,544,97,161,221,8379,8543,6865,2.59,"$164,600 ","$52,251 ",33.3,32.4,34.1,WA,8,"Seattle-Tacoma-Bremerton, WA CMSA",West,Pacific,10173,"$64,616 ","$266,912 ","$26,237 "
"$2,740 ",A,8,0.111111111,581,Lease,58120313,Services - Eating and Drinking,Sandwiches & subs shop,5,14,"$28,700 ","$201,649 ",87.54,$292 ,"$2,774 ",0,0,0,0,,,0.85714286,0.12355287,yes,1,67.3177765,0,0,0,0,33213,30835,518,1469,861,20,103,288,15658,17555,15453,2.26,"$84,200 ","$38,419 ",41.6,39.7,43.1,FL,5,"Tampa-St. Petersburg-Clearwater, FL MSA",South,South Atlantic,13950,"$113,550 ","$456,271 ","$32,708 "
"$3,390 ",B,3,0.25,652,Lease,58130100,Services - Eating and Drinking,Bars & lounges,8,19,"$152,208 ","$770,421 ",83.5,$0 ,"$8,231 ",0,0,0,0,,,1,0.07035217,no,0,,0,0,0,0,48116,29202,12492,4987,2567,26,97,2375,24117,23999,21782,2.3,"$184,900 ","$49,618 ",30.6,30.1,31.1,GA,5,"Atlanta, GA MSA",South,South Atlantic,32044,"$311,060 ","$1,202,946 ","$37,540 "
"$3,170 ",B,3,0.25,629,Lease,58120100,Services - Eating and Drinking,Ethnic food restaurants,10,15,"$41,545 ","$353,483 ",89.48,$0 ,"$4,669 ",0,0,0,0,,,1,0.09536173,no,0,,0,0,0,0,24808,23787,244,338,411,5,32,116,12071,12737,9855,2.56,"$183,400 ","$59,196 ",35.6,34.7,36.3,MA,5,"Providence-Fall River-Warwick, RI-MA MSA",Northeast,New England,9693,"$49,658 ","$215,121 ","$22,193 "
"$3,250 ",C,17,0.055555556,622,Lease,75380000,Services - Auto Repair & Maintenance,Automotive general repair shops,4,18,"$90,150 ","$510,156 ",84.98,$0 ,"$5,549 ",0,0,0,0,,,1,0.17762943,no,0,,0,0,1,0,8253,7567,16,807,70,4,26,457,4154,4099,3568,2.56,"$231,200 ","$53,675 ",35.4,34.6,36.1,ID,7,,West,Mountain,3007,"$20,262 ","$95,474 ","$31,751 "
"$3,150 ",A,6,0.142857143,651,Lease,59950000,Retail - Others,Optical goods,5,11,"$16,871 ","$159,078 ",90.41,$207 ,"$2,868 ",7,1,1,0,,,0.90909091,0.03961695,no,0,,0,0,0,0,39519,33262,182,36082,328,3,165,4744,19179,20340,11931,3.39,"$88,000 ","$34,122 ",28.6,27.3,30,TX,6,"Laredo, TX MSA",South,West South Central,23972,"$128,944 ","$551,175 ","$22,992 "
"$2,450 ",A,8,0.111111111,687,Mortgage,54110000,Retail - Food Stores,Groceries,4,8,"$21,000 ","$148,515 ",87.61,$0 ,"$2,070 ",0,0,0,0,,,1,0.09159165,no,0,,0,0,0,0,2047,2000,2,13,6,0,12,3,1037,1010,1161,2.58,"$152,800 ","$44,837 ",40.8,39.6,41.5,MI,5,,Midwest,East North Central,302,"$1,298 ","$7,770 ","$25,728 "
"$3,310 ",B,53,0.018518519,679,Lease,58129902,Services - Eating and Drinking,Cafe,9,15,"$86,900 ","$499,369 ",85.18,$0 ,"$4,818 ",0,0,0,0,,,1,0.14392156,no,0,,0,0,0,0,32753,31325,192,1237,741,1,10,188,15841,16912,11164,2.96,"$233,500 ","$76,959 ",38.9,37.9,39.8,NY,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,5559,"$39,467 ","$170,882 ","$30,740 "
"$3,030 ",C,1,0.5,532,Own,58130100,Services - Eating and Drinking,Bars & lounges,4,2,"$2,000 ","$6,875 ",77.46,"$1,144 ",$143 ,1,1,6,0,,,0.5,0.29090909,no,0,,0,0,0,0,9342,6151,1161,1420,670,15,64,789,4590,4752,4820,1.68,"$109,700 ","$14,095 ",26.9,27.9,25.9,RI,5,"Providence-Fall River-Warwick, RI-MA MSA",Northeast,New England,41658,"$568,665 ","$1,936,080 ","$46,476 "
"$2,670 ",B,3,0.25,538,Own,72310000,Services - Personal,Beauty shops,2,8,"$174,950 ","$338,997 ",65.96,"$2,070 ","$4,245 ",26,3,8,0,,,0.625,0.25392549,no,0,,0,0,0,0,66789,57591,2280,5291,3366,49,168,2049,33255,33534,41575,1.65,"$375,000 ","$55,647 ",30.9,31.4,30.4,IL,6,"Chicago-Gary-Kenosha, IL-IN-WI CMSA",Midwest,East North Central,19346,"$140,283 ","$600,731 ","$31,052 "
"$1,280 ",A,4,0.2,543,Own,54110000,Retail - Food Stores,Groceries,8,4,"$45,200 ","$398,107 ",89.8,"$12,734 ","$2,976 ",2,2,0,3,396326,10953,0,0,no,0,,0,0,0,0,29522,13692,11877,6594,473,21,61,690,15154,14368,13348,2.49,"$157,600 ","$31,879 ",36.9,36.8,37,FL,5,"Miami-Fort Lauderdale, FL CMSA",South,South Atlantic,6179,"$34,946 ","$145,996 ","$23,628 "
"$1,320 ",A,18,0.052631579,585,Own,54210000,Retail - Food Stores,Meat & fish markets,30,11,"$54,800 ","$694,556 ",92.69,$0 ,"$8,526 ",1,0,0,0,,,1,0.07848224,no,0,,0,0,0,0,39908,22554,12462,3923,1831,33,94,1485,18948,20960,17247,2.47,"$188,500 ","$40,046 ",35,33.9,36.2,NJ,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,9839,"$71,257 ","$319,713 ","$32,494 "
"$3,290 ",B,8,0.111111111,623,Lease,72990105,Services - Personal,Tanning salon,1,15,"$83,060 ","$245,901 ",74.75,$0 ,"$3,470 ",6,0,0,0,,,1,0.32197062,no,0,,0,0,0,0,8377,6991,848,198,309,0,26,85,4128,4249,3235,2.73,"$121,600 ","$62,604 ",36.6,36.6,36.7,VA,5,"Richmond-Petersburg, VA MSA",South,South Atlantic,4957,"$51,888 ","$217,974 ","$43,973 "
"$3,660 ",B,6,0.142857143,699,Lease,58120001,Services - Eating and Drinking,Restaurant serving alcohol,2,14,"$80,850 ","$276,902 ",77.4,$0 ,"$3,189 ",0,0,0,0,,,1,0.17926631,no,0,,0,0,0,0,16718,14995,218,236,919,4,54,66,8190,8528,6585,2.66,"$214,900 ","$62,530 ",35.8,35.2,36.5,MI,5,"Detroit-Ann Arbor-Flint, MI CMSA",Midwest,East North Central,12387,"$137,963 ","$558,605 ","$45,096 "
"$3,460 ",C,5,0.166666667,696,Lease,54110000,Retail - Food Stores,Groceries,5,17,"$232,424 ","$594,157 ",71.88,$0 ,"$4,247 ",0,0,0,0,,,1,0.08498376,no,0,,0,0,0,0,24451,19091,2098,3280,723,18,95,1640,12407,12044,7983,3.11,"$140,600 ","$65,353 ",32.4,32,32.8,VA,5,"Washington-Baltimore, DC-MD-VA-WV CMSA",South,South Atlantic,4580,"$34,300 ","$154,970 ","$33,836 "
"$2,680 ",A,5,0.166666667,602,Lease,76992200,Services - Miscellaneous Repair,Aircraft & heavy equipment repair,3,6,$500 ,"$51,604 ",99.04,"$6,005 ","$1,273 ",4,0,0,0,,,0.5,0.00347598,no,0,,0,0,0,0,33342,18849,11446,4348,517,15,69,962,17078,16264,13446,2.53,"$96,300 ","$39,651 ",35.5,35.1,35.8,FL,5,"Miami-Fort Lauderdale, FL CMSA",South,South Atlantic,47047,"$472,894 ","$1,989,652 ","$42,291 "
"$3,690 ",C,10,0.090909091,685,Lease,59410000,Retail - Others,Sporting goods,7,14,"$68,500 ","$343,959 ",83.39,$0 ,"$3,524 ",0,0,0,0,,,1,0.24885697,no,0,,0,0,0,0,46231,40847,2603,2602,1251,10,69,876,22943,23288,17018,2.77,"$225,800 ","$88,504 ",37.5,36.4,38.5,GA,5,"Atlanta, GA MSA",South,South Atlantic,16215,"$90,999 ","$395,172 ","$24,371 "
"$2,580 ",B,2,0.333333333,646,Lease,54110000,Retail - Food Stores,Groceries,7,7,"$2,700 ","$16,381 ",85.85,$0 ,$423 ,0,0,0,0,,,1,0.21030292,yes,1,23.202346,0,0,0,0,1842,1769,8,60,3,0,7,19,936,906,715,2.7,"$106,600 ","$51,250 ",38.7,39.2,38.2,KS,6,"Kansas City, MO-KS MSA",Midwest,West North Central,86,$492 ,"$2,167 ","$25,198 "
"$2,860 ",B,10,0.090909091,596,Lease,75380000,Services - Auto Repair & Maintenance,Automotive general repair shops,4,3,"$3,030 ","$7,003 ",69.8,"$7,003 ",$745 ,0,0,0,0,,,0.66666667,0,no,0,,0,0,1,0,35900,24929,1923,8499,4062,26,60,3532,17318,18582,14128,2.6,"$147,600 ","$48,608 ",36.2,34.7,37.8,NJ,5,New York-Northern New Jersey-Long Island,Northeast,Middle Atlantic,8018,"$64,960 ","$278,774 ","$34,769 "
"$3,580 ",B,3,0.25,603,Lease,7520000,Services - Pets,"Animal training, grooming, boarding services",2,8,"$9,300 ","$20,258 ",68.54,$274 ,$433 ,0,0,0,0,,,0.625,0.5022661,no,0,,0,0,0,0,4291,4119,54,90,18,2,9,35,2139,2152,3275,2.26,"$131,600 ","$42,482 ",45,43.6,46.4,MI,5,"Benton Harbor, MI MSA",Midwest,East North Central,1499,"$6,162 ","$29,054 ","$19,382 "
"$1,930 ",A,4,0.2,763,Lease,54110000,Retail - Food Stores,Groceries,14,6,"$25,750 ","$2,154 ",7.72,$0 ,$37 ,0,0,0,0,,,1,1,no,0,,0,0,0,0,23779,19338,3929,290,87,4,62,124,11240,12539,10101,2.51,"$74,800 ","$29,909 ",36.3,34.1,38.2,MO,6,,Midwest,West North Central,12393,"$68,324 ","$288,158 ","$23,252 "
"$2,260 ",C,13,0.071428571,624,Lease,54990100,Retail - Food Stores,Health & dietetic food stores,8,5,$200 ,"$75,346 ",99.74,$184 ,$851 ,0,0,0,0,,,0.8,0.04135588,yes,1,52.0184191,0,0,0,0,16828,14523,596,1660,79,21,144,1134,8196,8632,7321,2.51,"$69,300 ","$31,565 ",36.2,33.9,38.6,AL,6,,South,East South Central,11332,"$74,595 ","$290,530 ","$25,638 "
"$2,580 ",B,23,0.041666667,515,Lease,75380000,Services - Auto Repair & Maintenance,Automotive general repair shops,6,9,"$2,616 ","$219,625 ",98.82,$882 ,"$2,267 ",19,5,0,0,,,0.33333333,0.01052394,no,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,0,0,0,NM,7,"Santa Fe, NM MSA",West,Mountain,6013,"$34,726 ","$154,998 ","$25,777 "
"$3,440 ",B,12,0.076923077,666,Lease,58129902,Services - Eating and Drinking,Cafe,1,13,"$60,706 ","$197,962 ",76.53,$0 ,"$2,834 ",0,0,0,0,,,1,0.11575862,no,0,,0,0,0,0,34765,20843,13010,638,214,6,73,284,16590,18175,13523,2.75,"$76,000 ","$32,968 ",33.6,32.1,35,GA,5,"Atlanta, GA MSA",South,South Atlantic,11496,"$61,450 ","$252,805 ","$21,991 "
"$4,860 ",C,9,0.1,586,Lease,59210000,Retail - Others,Alcoholic beverages,5,10,$250 ,"$18,529 ",98.67,"$8,381 ",$398 ,0,0,26,0,,,0.4,0.01838313,yes,1,68.1368421,0,0,0,0,13123,12644,89,1029,58,7,14,204,6122,7001,10019,1.99,"$223,500 ","$61,114 ",59.9,58.8,61,FL,5,"Naples, FL MSA",South,South Atlantic,8040,"$80,113 ","$322,593 ","$40,124 "
"$2,420 ",B,9,0.1,437,Lease,75490100,Services - Auto Repair & Maintenance,Automotive maintenance services,1,8,"$5,750 ","$12,592 ",68.65,"$2,310 ",$672 ,5,1,2,0,,,0.375,0.44802792,no,0,,0,4,3,3703,59257,45159,2042,13451,2969,99,414,5895,29485,29772,20917,2.99,"$204,700 ","$61,349 ",31.5,30.9,32.1,CA,8,"Los Angeles-Riverside-Orange County, CA",West,Pacific,6239,"$36,041 ","$149,009 ","$23,883 "
"$2,330 ",A,6,0.142857143,638,Lease,58130100,Services - Eating and Drinking,Bars & lounges,1,4,"$1,800 ","$9,689 ",84.33,$767 ,$337 ,0,0,0,0,,,0.5,0.3055408,no,0,,0,0,0,0,17910,15870,913,1858,369,8,41,326,8736,9174,11531,1.98,"$273,500 ","$48,920 ",46.7,44.4,49.2,FL,5,"West Palm Beach-Boca Raton, FL MSA",South,South Atlantic,15184,"$178,360 ","$634,411 ","$41,782 "
"$3,310 ",C,11,0.083333333,509,Lease,59920000,Retail - Others,Florist,2,11,$800 ,"$521,337 ",99.85,"$5,152 ","$4,897 ",1,0,0,0,,,0.27272727,0.00168549,no,0,,0,2,0,11222,33624,31963,373,1863,369,2,72,482,16655,16969,16129,2.5,"$127,400 ","$51,708 ",40.2,39.4,41,FL,5,"Fort Myers-Cape Coral, FL MSA",South,South Atlantic,18264,"$139,732 ","$615,552 ","$33,703 "
$810 ,A,4,0.2,677,Own,72990800,Services - Personal,Clothing alteration services,3,12,"$48,524 ","$9,321 ",16.11,$688 ,$430 ,8,1,0,0,,,0.91666667,1,no,0,,0,0,0,0,7898,7738,28,58,13,3,52,11,3914,3984,6690,2.26,"$112,900 ","$34,167 ",45.5,44.5,46.6,WI,6,,Midwest,East North Central,2906,"$15,663 ","$73,270 ","$25,213 "
"$1,900 ",B,7,0.125,487,Lease,57120000,"Retail - Furniture, Furnishings & Appliances",Furniture,1,11,"$79,799 ","$82,250 ",50.76,"$3,779 ","$2,575 ",15,4,3,0,,,0.72727273,0.67527837,no,0,,0,0,0,0,12120,10927,757,325,71,15,56,170,6032,6088,18011,2.08,"$142,200 ","$38,213 ",46.8,45,48.3,SC,5,"Myrtle Beach, SC MSA",South,South Atlantic,7958,"$32,608 ","$161,767 ","$20,328 "
"$4,670 ",B,2,0.333333333,537,Lease,58130100,Services - Eating and Drinking,Bars & lounges,0,17,"$3,100 ","$106,424 ",97.17,"$3,617 ","$1,506 ",22,11,20,0,,,0.70588235,0.03825122,yes,1,96.9213557,0,0,0,0,3819,3739,4,70,7,4,7,47,1910,1909,1660,2.47,"$66,600 ","$36,078 ",39.5,36.7,42.2,NE,6,,Midwest,West North Central,1705,"$8,920 ","$35,989 ","$21,108 "
"$2,930 ",B,8,0.111111111,709,Lease,79991100,Services - Amusement & Recreation,"Instruction schools, camps & services",8,10,"$86,300 ","$25,941 ",23.11,$0 ,$783 ,0,0,0,0,,,1,1,no,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,0,0,0,CA,8,"Los Angeles-Riverside-Orange County, CA",West,Pacific,56,$403 ,"$1,155 ","$20,625 "
"$2,050 ",A,5,0.166666667,596,Lease,7420000,Services - Pets,Veterinary services,2,10,"$1,050 ","$32,143 ",96.84,"$4,543 ",$852 ,2,0,0,0,,,0.6,0.03981365,no,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,0,0,0,SC,5,"Myrtle Beach, SC MSA",South,South Atlantic,3007,"$14,437 ","$64,687 ","$21,512 "
"$3,390 ",B,4,0.2,503,Lease,58129902,Services - Eating and Drinking,Cafe,9,8,$924 ,"$465,818 ",99.8,$756 ,"$4,563 ",5,0,0,0,,,0.625,0.00603871,no,0,,0,0,1,0,25132,11983,111,1966,3968,2728,120,352,12622,12510,12605,2.69,"$229,300 ","$48,264 ",39.4,39,39.9,HI,10,,West,Pacific,13956,"$90,204 ","$382,333 ","$27,396 "
"$2,290 ",A,5,0.166666667,609,Lease,73780000,Services - For Businesses,Computer maintenance & repair,6,10,"$3,438 ","$2,766 ",44.58,$368 ,$169 ,0,0,0,0,,,0.9,0.83190319,no,0,,0,1,1,714,38744,35671,263,1753,869,51,264,739,18980,19764,15086,2.58,"$116,200 ","$42,659 ",33.9,31.7,36.1,ID,7,"Boise City, ID MSA",West,Mountain,22926,"$160,127 ","$659,470 ","$28,765 "
"$1,860 ",A,20,0.047619048,622,Lease,58120600,Services - Eating and Drinking,Pizza restaurants,7,9,"$1,880 ","$850,813 ",99.78,"$10,661 ","$8,067 ",9,0,0,0,,,0.88888889,0.00306729,no,0,,0,0,0,0,27034,23393,362,3066,991,26,197,1167,13419,13615,12220,2.23,"$302,500 ","$37,176 ",33.1,30.8,35.8,CA,8,"San Luis Obispo-Atascadero-Paso Robles, CA MSA",West,Pacific,28909,"$260,043 ","$1,039,359 ","$35,953 "
"$2,790 ",C,3,0.25,628,Own,75380000,Services - Auto Repair & Maintenance,Automotive general repair shops,3,7,"$10,400 ","$9,639 ",48.1,$0 ,$389 ,0,0,0,0,,,1,0.94716277,no,0,,0,0,2,0,65868,56731,5763,2131,1072,21,448,492,31767,34101,25905,2.63,"$93,000 ","$42,944 ",33.9,32.9,34.8,MI,5,"Detroit-Ann Arbor-Flint, MI CMSA",Midwest,East North Central,27477,"$215,599 ","$826,579 ","$30,083 "
"$1,950 ",B,7,0.125,693,Lease,52610000,Retail - Hardware & Home Improvement,Nurseries & garden centers,2,9,"$67,610 ","$230,146 ",77.29,$6 ,"$2,793 ",0,0,0,0,,,0.77777778,0.04998561,no,0,,0,0,0,0,24892,19837,994,5750,520,15,95,2919,12472,12420,9641,2.66,"$126,300 ","$41,586 ",34,32.1,36.2,GA,5,,South,South Atlantic,31537,"$234,815 ","$996,665 ","$31,603 "
"$3,510 ",B,6,0.142857143,621,Lease,58120100,Services - Eating and Drinking,Ethnic food restaurants,1,16,"$21,977 ","$481,644 ",95.64,"$1,162 ","$4,941 ",0,0,0,0,,,0.9375,0.02805061,no,0,,0,0,0,0,43676,19700,716,33160,2115,76,902,17529,22582,21094,10789,4.11,"$132,900 ","$32,589 ",25.3,24.9,25.8,CA,8,"Santa Barbara-Santa Maria-Lompoc, CA MSA",West,Pacific,4022,"$23,738 ","$103,121 ","$25,639 "
"$2,380 ",A,5,0.166666667,637,Mortgage,57120000,"Retail - Furniture, Furnishings & Appliances",Furniture,2,7,"$41,400 ","$12,503 ",23.2,$0 ,$410 ,1,4,0,0,,,1,1,no,0,,0,0,0,0,629,622,1,8,0,0,0,0,331,298,280,2.47,"$45,000 ","$40,357 ",41.4,39.8,43.3,KS,6,,Midwest,West North Central,80,$364 ,"$1,515 ","$18,938 "
"$2,650 ",B,1,0.5,581,Lease,17110000,Services - Home Improvement,"Plumbing, heating, air-conditioning",3,14,"$4,250 ","$46,578 ",91.64,$530 ,"$1,165 ",0,0,0,0,,,0.78571429,0.11815805,no,0,,0,0,0,0,55496,47776,6080,828,429,23,110,321,28098,27398,23126,2.37,"$99,200 ","$33,704 ",35.4,33.9,37.2,MD,5,"Washington-Baltimore, DC-MD-VA-WV CMSA",South,South Atlantic,33208,"$226,619 ","$967,246 ","$29,127 "
